班級ID,班級名稱,年級
101,1年1班,1
102,1年2班,1
201,2年1班,2
202,2年2班,2
301,3年1班,3
302,3年2班,3
401,4年1班,4
402,4年2班,4
403,4年3班,4
501,5年1班,5
502,5年2班,5
503,5年3班,5
601,6年1班,6
602,6年2班,6
603,6年3班,6
